rank,crossover,replacement_strategy,elite_size,replacement_fraction,mutation,initial_population_mode,best_ga,best_known,best_known_source,gap_to_best_known,improvement_vs_seed,initial_best,logged_best,improvement_gen0,final_avg,final_std,n_gen_executed,n_evals,n_unique_schedules,stop_reason
1,decuple,generational,1,0.9,swap,random,296.0,282.0,psplib:j12056_7.sm,14.0,24.0,360.0,296.0,64.0,305.02,13.983547475515644,100,4217,0,max_generations
2,decuple,generational,1,0.9,insertion_window,priority_rules,301.0,282.0,psplib:j12056_7.sm,19.0,19.0,320.0,301.0,19.0,302.1,0.7,100,4197,0,max_generations
3,decuple,generational,1,0.9,adjacent_swap,random,303.0,282.0,psplib:j12056_7.sm,21.0,17.0,360.0,303.0,57.0,304.04,3.5997777709186436,100,4116,0,max_generations
4,decuple,generational,1,0.9,consensus_reorder,priority_rules,304.0,282.0,psplib:j12056_7.sm,22.0,16.0,320.0,304.0,16.0,309.1,13.830762813380902,100,4089,0,max_generations
5,decuple,generational,1,0.9,insertion_window,random,304.0,282.0,psplib:j12056_7.sm,22.0,16.0,360.0,304.0,56.0,304.3,1.4999999999999998,100,4112,0,max_generations
6,decuple,generational,1,0.9,swap,priority_rules,304.0,282.0,psplib:j12056_7.sm,22.0,16.0,320.0,304.0,16.0,312.84,19.70417214703526,100,4120,0,max_generations
7,decuple,generational,1,0.9,consensus_reorder,random,304.0,282.0,psplib:j12056_7.sm,22.0,16.0,360.0,304.0,56.0,313.28,18.917758852464527,100,4206,0,max_generations
8,decuple,generational,1,0.9,adjacent_swap,priority_rules,308.0,282.0,psplib:j12056_7.sm,26.0,12.0,320.0,308.0,12.0,310.0,3.7416573867739413,100,4146,0,max_generations
