replacement_strategy,mutation,priority_best_ga,random_best_ga,delta_random_minus_priority,winner,priority_gap_to_best_known,random_gap_to_best_known,priority_initial_best,random_initial_best,priority_n_evals,random_n_evals,priority_stop_reason,random_stop_reason
generational,adjacent_swap,88.0,89.0,1.0,priority_rules,0.0,1.0,89.0,99.0,4089,4127,max_generations,max_generations
generational,insertion_window,88.0,89.0,1.0,priority_rules,0.0,1.0,89.0,99.0,4110,4105,max_generations,max_generations
generational,swap,88.0,88.0,0.0,tie,0.0,0.0,89.0,99.0,4102,4152,max_generations,max_generations
generational,consensus_reorder,88.0,88.0,0.0,tie,0.0,0.0,89.0,99.0,4163,4161,max_generations,max_generations
