replacement_strategy,mutation,priority_best_ga,random_best_ga,delta_random_minus_priority,winner,priority_gap_to_best_known,random_gap_to_best_known,priority_initial_best,random_initial_best,priority_n_evals,random_n_evals,priority_stop_reason,random_stop_reason
generational,consensus_reorder,870.0,919.0,49.0,priority_rules,129.0,178.0,870.0,1011.0,4191,4139,max_generations,max_generations
generational,swap,870.0,907.0,37.0,priority_rules,129.0,166.0,870.0,1011.0,4102,4152,max_generations,max_generations
generational,insertion_window,870.0,883.0,13.0,priority_rules,129.0,142.0,870.0,1011.0,4126,4114,max_generations,max_generations
generational,adjacent_swap,870.0,879.0,9.0,priority_rules,129.0,138.0,870.0,1011.0,4089,4127,max_generations,max_generations
