rank,crossover,replacement_strategy,elite_size,replacement_fraction,mutation,initial_population_mode,best_ga,best_known,best_known_source,gap_to_best_known,improvement_vs_seed,initial_best,logged_best,improvement_gen0,final_avg,final_std,n_gen_executed,n_evals,n_unique_schedules,stop_reason
1,decuple,generational,1,0.9,insertion_window,random,222.0,214.0,psplib:j12051_6.sm,8.0,34.0,286.0,222.0,64.0,225.36,3.659289548532611,100,4180,0,max_generations
2,decuple,generational,1,0.9,insertion_window,priority_rules,223.0,214.0,psplib:j12051_6.sm,9.0,33.0,256.0,223.0,33.0,224.78,2.8933717355362414,100,4173,0,max_generations
3,decuple,generational,1,0.9,adjacent_swap,random,224.0,214.0,psplib:j12051_6.sm,10.0,32.0,286.0,224.0,62.0,224.68,2.730860670191725,100,4116,0,max_generations
4,decuple,generational,1,0.9,adjacent_swap,priority_rules,224.0,214.0,psplib:j12051_6.sm,10.0,32.0,256.0,224.0,32.0,224.7,2.8301943396169813,100,4146,0,max_generations
5,decuple,generational,1,0.9,consensus_reorder,random,226.0,214.0,psplib:j12051_6.sm,12.0,30.0,286.0,226.0,60.0,233.68,23.04989370908248,100,4131,0,max_generations
6,decuple,generational,1,0.9,swap,random,228.0,214.0,psplib:j12051_6.sm,14.0,28.0,286.0,228.0,58.0,233.5,15.144966160411188,100,4217,0,max_generations
7,decuple,generational,1,0.9,swap,priority_rules,229.0,214.0,psplib:j12051_6.sm,15.0,27.0,256.0,229.0,27.0,236.16,17.899005558968913,100,4120,0,max_generations
8,decuple,generational,1,0.9,consensus_reorder,priority_rules,232.0,214.0,psplib:j12051_6.sm,18.0,24.0,256.0,232.0,24.0,233.82,8.930151174532265,100,4146,0,max_generations
