rank,crossover,replacement_strategy,elite_size,replacement_fraction,mutation,initial_population_mode,best_ga,best_known,best_known_source,gap_to_best_known,improvement_vs_seed,initial_best,logged_best,improvement_gen0,final_avg,final_std,n_gen_executed,n_evals,n_unique_schedules,stop_reason
1,decuple,generational,1,0.9,consensus_reorder,random,1210.0,1126.0,rcplib:RG300_429.rcp:LB-lit,84.0,34.0,1393.0,1210.0,183.0,1223.94,31.94333107238505,100,4145,0,max_generations
2,decuple,generational,1,0.9,insertion_window,priority_rules,1234.0,1126.0,rcplib:RG300_429.rcp:LB-lit,108.0,10.0,1244.0,1234.0,10.0,1241.42,2.8572014279710833,100,4149,0,max_generations
3,decuple,generational,1,0.9,adjacent_swap,random,1235.0,1126.0,rcplib:RG300_429.rcp:LB-lit,109.0,9.0,1393.0,1235.0,158.0,1239.78,10.315599837139864,100,4127,0,max_generations
4,decuple,generational,1,0.9,swap,random,1240.0,1126.0,rcplib:RG300_429.rcp:LB-lit,114.0,4.0,1393.0,1240.0,153.0,1248.78,26.51361159857329,100,4152,0,max_generations
5,decuple,generational,1,0.9,adjacent_swap,priority_rules,1244.0,1126.0,rcplib:RG300_429.rcp:LB-lit,118.0,0.0,1244.0,1244.0,0.0,1261.52,5.150689274262232,100,4089,0,max_generations
6,decuple,generational,1,0.9,swap,priority_rules,1244.0,1126.0,rcplib:RG300_429.rcp:LB-lit,118.0,0.0,1244.0,1244.0,0.0,1274.26,17.39173366861395,100,4102,0,max_generations
7,decuple,generational,1,0.9,consensus_reorder,priority_rules,1244.0,1126.0,rcplib:RG300_429.rcp:LB-lit,118.0,0.0,1244.0,1244.0,0.0,1258.8,22.825424421026653,100,4190,0,max_generations
8,decuple,generational,1,0.9,insertion_window,random,1264.0,1126.0,rcplib:RG300_429.rcp:LB-lit,138.0,-20.0,1393.0,1264.0,129.0,1264.32,0.881816307401944,100,4077,0,max_generations
