rank,crossover,replacement_strategy,elite_size,replacement_fraction,mutation,initial_population_mode,best_ga,best_known,best_known_source,gap_to_best_known,improvement_vs_seed,initial_best,logged_best,improvement_gen0,final_avg,final_std,n_gen_executed,n_evals,n_unique_schedules,stop_reason
1,decuple,generational,1,0.9,adjacent_swap,priority_rules,1068.0,957.0,rcplib:RG300_110.rcp:LB-lit,111.0,39.0,1107.0,1068.0,39.0,1070.18,5.0306659598904,100,4089,0,max_generations
2,decuple,generational,1,0.9,insertion_window,random,1083.0,957.0,rcplib:RG300_110.rcp:LB-lit,126.0,24.0,1218.0,1083.0,135.0,1084.82,2.5114935795259363,100,4100,0,max_generations
3,decuple,generational,1,0.9,consensus_reorder,priority_rules,1084.0,957.0,rcplib:RG300_110.rcp:LB-lit,127.0,23.0,1107.0,1084.0,23.0,1084.92,1.9477166118303761,100,4189,0,max_generations
4,decuple,generational,1,0.9,consensus_reorder,random,1089.0,957.0,rcplib:RG300_110.rcp:LB-lit,132.0,18.0,1218.0,1089.0,129.0,1091.94,13.825208859181837,100,4100,0,max_generations
5,decuple,generational,1,0.9,swap,random,1096.0,957.0,rcplib:RG300_110.rcp:LB-lit,139.0,11.0,1218.0,1096.0,122.0,1102.88,17.011337395983894,100,4152,0,max_generations
6,decuple,generational,1,0.9,insertion_window,priority_rules,1096.0,957.0,rcplib:RG300_110.rcp:LB-lit,139.0,11.0,1107.0,1096.0,11.0,1097.3,4.290687590584986,100,4153,0,max_generations
7,decuple,generational,1,0.9,swap,priority_rules,1103.0,957.0,rcplib:RG300_110.rcp:LB-lit,146.0,4.0,1107.0,1103.0,4.0,1107.48,11.857891886840594,100,4102,0,max_generations
8,decuple,generational,1,0.9,adjacent_swap,random,1130.0,957.0,rcplib:RG300_110.rcp:LB-lit,173.0,-23.0,1218.0,1130.0,88.0,1133.24,9.142341056862842,100,4127,0,max_generations
