source_file,instance,seed,rank,crossover,mutation,best_ga,gap_to_best_known,improvement_vs_seed,initial_best,logged_best,improvement_gen0,final_avg,final_std,n_gen_executed,n_evals,n_unique_schedules,stop_reason
j12036_6_operator_comparison_seed42.csv,j12036_6,42,5,decuple,insertion_window,250.0,26.0,13.0,263.0,250.0,13.0,250.0,0.0,100,4619,0,max_generations
j12036_6_operator_comparison_seed42.csv,j12036_6,42,6,uniform_order,insertion_window,251.0,27.0,12.0,263.0,251.0,12.0,252.48,0.8059776671843953,100,4568,0,max_generations
j12036_6_operator_comparison_seed42.csv,j12036_6,42,7,uniform_order,adjacent_swap,251.0,27.0,12.0,263.0,251.0,12.0,251.0,0.0,100,4571,0,max_generations
j12036_6_operator_comparison_seed42.csv,j12036_6,42,8,one_point,consensus_reorder,251.0,27.0,12.0,263.0,251.0,12.0,251.0,0.0,100,4610,0,max_generations
j12036_6_operator_comparison_seed42.csv,j12036_6,42,9,decuple,consensus_reorder,252.0,28.0,11.0,263.0,252.0,11.0,252.0,0.0,100,4644,0,max_generations
j12036_6_operator_comparison_seed42.csv,j12036_6,42,10,one_point,insertion_window,253.0,29.0,10.0,263.0,253.0,10.0,253.0,0.0,100,4563,0,max_generations
j12036_6_operator_comparison_seed42.csv,j12036_6,42,11,one_point,swap,253.0,29.0,10.0,263.0,253.0,10.0,253.0,0.0,100,4590,0,max_generations
j12036_6_operator_comparison_seed42.csv,j12036_6,42,12,two_point,insertion_window,253.0,29.0,10.0,263.0,253.0,10.0,253.0,0.0,100,4598,0,max_generations
j12036_6_operator_comparison_seed42.csv,j12036_6,42,13,one_point,adjacent_swap,253.0,29.0,10.0,263.0,253.0,10.0,253.0,0.0,100,4603,0,max_generations
j12036_6_operator_comparison_seed42.csv,j12036_6,42,14,two_point,consensus_reorder,254.0,30.0,9.0,263.0,254.0,9.0,254.0,0.0,100,4609,0,max_generations
j12036_6_operator_comparison_seed42.csv,j12036_6,42,15,two_point,adjacent_swap,255.0,31.0,8.0,263.0,255.0,8.0,255.0,0.0,100,4584,0,max_generations
j12036_6_operator_comparison_seed42.csv,j12036_6,42,16,two_point,swap,257.0,33.0,6.0,263.0,257.0,6.0,257.0,0.0,100,4596,0,max_generations
j12051_5_operator_comparison_seed42.csv,j12051_5,42,1,uniform_order,adjacent_swap,236.0,7.0,30.0,266.0,236.0,30.0,236.0,0.0,100,4571,0,max_generations
j12051_5_operator_comparison_seed42.csv,j12051_5,42,2,decuple,adjacent_swap,242.0,13.0,24.0,266.0,242.0,24.0,244.7,0.9,100,4573,0,max_generations
j12051_5_operator_comparison_seed42.csv,j12051_5,42,3,decuple,insertion_window,243.0,14.0,23.0,266.0,243.0,23.0,243.0,0.0,100,4560,0,max_generations
j12051_5_operator_comparison_seed42.csv,j12051_5,42,4,uniform_order,insertion_window,243.0,14.0,23.0,266.0,243.0,23.0,243.44,0.4963869458396343,100,4606,0,max_generations
j12051_5_operator_comparison_seed42.csv,j12051_5,42,5,uniform_order,swap,246.0,17.0,20.0,266.0,246.0,20.0,246.0,0.0,100,4587,0,max_generations
j12051_5_operator_comparison_seed42.csv,j12051_5,42,6,decuple,swap,246.0,17.0,20.0,266.0,246.0,20.0,246.0,0.0,100,4641,0,max_generations
j12051_5_operator_comparison_seed42.csv,j12051_5,42,7,decuple,consensus_reorder,248.0,19.0,18.0,266.0,248.0,18.0,248.0,0.0,100,4609,0,max_generations
j12051_5_operator_comparison_seed42.csv,j12051_5,42,8,uniform_order,consensus_reorder,250.0,21.0,16.0,266.0,250.0,16.0,251.92,0.39191835884530846,100,4591,0,max_generations
j12051_5_operator_comparison_seed42.csv,j12051_5,42,9,two_point,swap,253.0,24.0,13.0,266.0,253.0,13.0,253.0,0.0,100,4596,0,max_generations
j12051_5_operator_comparison_seed42.csv,j12051_5,42,10,two_point,consensus_reorder,253.0,24.0,13.0,266.0,253.0,13.0,253.0,0.0,100,4652,0,max_generations
j12051_5_operator_comparison_seed42.csv,j12051_5,42,11,one_point,swap,254.0,25.0,12.0,266.0,254.0,12.0,255.88,0.4749736834815167,100,4590,0,max_generations
j12051_5_operator_comparison_seed42.csv,j12051_5,42,12,one_point,adjacent_swap,256.0,27.0,10.0,266.0,256.0,10.0,256.0,0.0,100,4603,0,max_generations
j12051_5_operator_comparison_seed42.csv,j12051_5,42,13,one_point,consensus_reorder,256.0,27.0,10.0,266.0,256.0,10.0,256.0,0.0,100,4604,0,max_generations
j12051_5_operator_comparison_seed42.csv,j12051_5,42,14,one_point,insertion_window,257.0,28.0,9.0,266.0,257.0,9.0,257.0,0.0,100,4577,0,max_generations
