rank,crossover,mutation,best_ga,gap_to_best_known,improvement_vs_seed,initial_best,logged_best,improvement_gen0,final_avg,final_std,n_gen_executed,n_evals,n_unique_schedules,stop_reason
1,uniform_order,consensus_reorder,245.0,21.0,18.0,263.0,245.0,18.0,245.0,0.0,100,4567,0,max_generations
2,decuple,adjacent_swap,245.0,21.0,18.0,263.0,245.0,18.0,245.0,0.0,100,4573,0,max_generations
3,uniform_order,swap,246.0,22.0,17.0,263.0,246.0,17.0,246.0,0.0,100,4587,0,max_generations
4,decuple,swap,249.0,25.0,14.0,263.0,249.0,14.0,249.0,0.0,100,4641,0,max_generations
5,decuple,insertion_window,250.0,26.0,13.0,263.0,250.0,13.0,250.0,0.0,100,4619,0,max_generations
6,uniform_order,insertion_window,251.0,27.0,12.0,263.0,251.0,12.0,252.48,0.8059776671843953,100,4568,0,max_generations
7,uniform_order,adjacent_swap,251.0,27.0,12.0,263.0,251.0,12.0,251.0,0.0,100,4571,0,max_generations
8,one_point,consensus_reorder,251.0,27.0,12.0,263.0,251.0,12.0,251.0,0.0,100,4610,0,max_generations
9,decuple,consensus_reorder,252.0,28.0,11.0,263.0,252.0,11.0,252.0,0.0,100,4644,0,max_generations
10,one_point,insertion_window,253.0,29.0,10.0,263.0,253.0,10.0,253.0,0.0,100,4563,0,max_generations
11,one_point,swap,253.0,29.0,10.0,263.0,253.0,10.0,253.0,0.0,100,4590,0,max_generations
12,two_point,insertion_window,253.0,29.0,10.0,263.0,253.0,10.0,253.0,0.0,100,4598,0,max_generations
13,one_point,adjacent_swap,253.0,29.0,10.0,263.0,253.0,10.0,253.0,0.0,100,4603,0,max_generations
14,two_point,consensus_reorder,254.0,30.0,9.0,263.0,254.0,9.0,254.0,0.0,100,4609,0,max_generations
15,two_point,adjacent_swap,255.0,31.0,8.0,263.0,255.0,8.0,255.0,0.0,100,4584,0,max_generations
16,two_point,swap,257.0,33.0,6.0,263.0,257.0,6.0,257.0,0.0,100,4596,0,max_generations
