rank,crossover,mutation,best_ga,gap_to_best_known,improvement_vs_seed,initial_best,logged_best,improvement_gen0,final_avg,final_std,n_gen_executed,n_evals,n_unique_schedules,stop_reason
1,uniform_order,adjacent_swap,237.0,12.0,29.0,266.0,237.0,29.0,237.0,0.0,100,4571,0,max_generations
2,uniform_order,swap,238.0,13.0,28.0,266.0,238.0,28.0,238.0,0.0,100,4587,0,max_generations
3,uniform_order,insertion_window,240.0,15.0,26.0,266.0,240.0,26.0,240.0,0.0,100,4609,0,max_generations
4,uniform_order,consensus_reorder,242.0,17.0,24.0,266.0,242.0,24.0,246.36,1.2768711759609894,100,4584,0,max_generations
5,decuple,consensus_reorder,245.0,20.0,21.0,266.0,245.0,21.0,245.0,0.0,100,4589,0,max_generations
6,decuple,adjacent_swap,248.0,23.0,18.0,266.0,248.0,18.0,248.56,0.6053098380168622,100,4573,0,max_generations
7,decuple,insertion_window,248.0,23.0,18.0,266.0,248.0,18.0,248.0,0.0,100,4638,0,max_generations
8,decuple,swap,250.0,25.0,16.0,266.0,250.0,16.0,250.0,0.0,100,4641,0,max_generations
9,two_point,insertion_window,252.0,27.0,14.0,266.0,252.0,14.0,252.0,0.0,100,4611,0,max_generations
10,two_point,consensus_reorder,256.0,31.0,10.0,266.0,256.0,10.0,256.0,0.0,100,4590,0,max_generations
11,two_point,swap,256.0,31.0,10.0,266.0,256.0,10.0,256.0,0.0,100,4596,0,max_generations
12,two_point,adjacent_swap,260.0,35.0,6.0,266.0,260.0,6.0,260.0,0.0,100,4584,0,max_generations
13,one_point,insertion_window,260.0,35.0,6.0,266.0,260.0,6.0,260.0,0.0,100,4585,0,max_generations
14,one_point,swap,260.0,35.0,6.0,266.0,260.0,6.0,260.0,0.0,100,4590,0,max_generations
15,one_point,consensus_reorder,260.0,35.0,6.0,266.0,260.0,6.0,260.0,0.0,100,4609,0,max_generations
16,one_point,adjacent_swap,261.0,36.0,5.0,266.0,261.0,5.0,261.0,0.0,100,4603,0,max_generations
