run_rank,crossover,replacement_strategy,elite_size,replacement_fraction,mutation,initial_population_mode,label,point_index,gen,best_curve,best_ga,best_known,gap_to_best_known,stop_reason
2,decuple,generational,1,0.9,adjacent_swap,random,generational/random/adjacent_swap,63,62.0,336.0,335.0,332.0,3.0,max_generations
2,decuple,generational,1,0.9,adjacent_swap,random,generational/random/adjacent_swap,64,63.0,336.0,335.0,332.0,3.0,max_generations
2,decuple,generational,1,0.9,adjacent_swap,random,generational/random/adjacent_swap,65,64.0,336.0,335.0,332.0,3.0,max_generations
2,decuple,generational,1,0.9,adjacent_swap,random,generational/random/adjacent_swap,66,65.0,336.0,335.0,332.0,3.0,max_generations
2,decuple,generational,1,0.9,adjacent_swap,random,generational/random/adjacent_swap,67,66.0,336.0,335.0,332.0,3.0,max_generations
2,decuple,generational,1,0.9,adjacent_swap,random,generational/random/adjacent_swap,68,67.0,336.0,335.0,332.0,3.0,max_generations
2,decuple,generational,1,0.9,adjacent_swap,random,generational/random/adjacent_swap,69,68.0,336.0,335.0,332.0,3.0,max_generations
2,decuple,generational,1,0.9,adjacent_swap,random,generational/random/adjacent_swap,70,69.0,336.0,335.0,332.0,3.0,max_generations
2,decuple,generational,1,0.9,adjacent_swap,random,generational/random/adjacent_swap,71,70.0,336.0,335.0,332.0,3.0,max_generations
2,decuple,generational,1,0.9,adjacent_swap,random,generational/random/adjacent_swap,72,71.0,336.0,335.0,332.0,3.0,max_generations
2,decuple,generational,1,0.9,adjacent_swap,random,generational/random/adjacent_swap,73,72.0,336.0,335.0,332.0,3.0,max_generations
2,decuple,generational,1,0.9,adjacent_swap,random,generational/random/adjacent_swap,74,73.0,336.0,335.0,332.0,3.0,max_generations
2,decuple,generational,1,0.9,adjacent_swap,random,generational/random/adjacent_swap,75,74.0,336.0,335.0,332.0,3.0,max_generations
2,decuple,generational,1,0.9,adjacent_swap,random,generational/random/adjacent_swap,76,75.0,336.0,335.0,332.0,3.0,max_generations
2,decuple,generational,1,0.9,adjacent_swap,random,generational/random/adjacent_swap,77,76.0,335.0,335.0,332.0,3.0,max_generations
2,decuple,generational,1,0.9,adjacent_swap,random,generational/random/adjacent_swap,78,77.0,335.0,335.0,332.0,3.0,max_generations
2,decuple,generational,1,0.9,adjacent_swap,random,generational/random/adjacent_swap,79,78.0,335.0,335.0,332.0,3.0,max_generations
2,decuple,generational,1,0.9,adjacent_swap,random,generational/random/adjacent_swap,80,79.0,335.0,335.0,332.0,3.0,max_generations
2,decuple,generational,1,0.9,adjacent_swap,random,generational/random/adjacent_swap,81,80.0,335.0,335.0,332.0,3.0,max_generations
2,decuple,generational,1,0.9,adjacent_swap,random,generational/random/adjacent_swap,82,81.0,335.0,335.0,332.0,3.0,max_generations
2,decuple,generational,1,0.9,adjacent_swap,random,generational/random/adjacent_swap,83,82.0,335.0,335.0,332.0,3.0,max_generations
2,decuple,generational,1,0.9,adjacent_swap,random,generational/random/adjacent_swap,84,83.0,335.0,335.0,332.0,3.0,max_generations
2,decuple,generational,1,0.9,adjacent_swap,random,generational/random/adjacent_swap,85,84.0,335.0,335.0,332.0,3.0,max_generations
2,decuple,generational,1,0.9,adjacent_swap,random,generational/random/adjacent_swap,86,85.0,335.0,335.0,332.0,3.0,max_generations
2,decuple,generational,1,0.9,adjacent_swap,random,generational/random/adjacent_swap,87,86.0,335.0,335.0,332.0,3.0,max_generations
2,decuple,generational,1,0.9,adjacent_swap,random,generational/random/adjacent_swap,88,87.0,335.0,335.0,332.0,3.0,max_generations
2,decuple,generational,1,0.9,adjacent_swap,random,generational/random/adjacent_swap,89,88.0,335.0,335.0,332.0,3.0,max_generations
2,decuple,generational,1,0.9,adjacent_swap,random,generational/random/adjacent_swap,90,89.0,335.0,335.0,332.0,3.0,max_generations
2,decuple,generational,1,0.9,adjacent_swap,random,generational/random/adjacent_swap,91,90.0,335.0,335.0,332.0,3.0,max_generations
2,decuple,generational,1,0.9,adjacent_swap,random,generational/random/adjacent_swap,92,91.0,335.0,335.0,332.0,3.0,max_generations
2,decuple,generational,1,0.9,adjacent_swap,random,generational/random/adjacent_swap,93,92.0,335.0,335.0,332.0,3.0,max_generations
2,decuple,generational,1,0.9,adjacent_swap,random,generational/random/adjacent_swap,94,93.0,335.0,335.0,332.0,3.0,max_generations
2,decuple,generational,1,0.9,adjacent_swap,random,generational/random/adjacent_swap,95,94.0,335.0,335.0,332.0,3.0,max_generations
2,decuple,generational,1,0.9,adjacent_swap,random,generational/random/adjacent_swap,96,95.0,335.0,335.0,332.0,3.0,max_generations
2,decuple,generational,1,0.9,adjacent_swap,random,generational/random/adjacent_swap,97,96.0,335.0,335.0,332.0,3.0,max_generations
2,decuple,generational,1,0.9,adjacent_swap,random,generational/random/adjacent_swap,98,97.0,335.0,335.0,332.0,3.0,max_generations
